company_age_months,monthly_burn_usd,runway_months,team_size,founder_exits,customer_growth_pct,support_tickets_last_30_days,annual_revenue_usd,market_segment,growth_stage,remote_friendly,investor_tier,churned
50.0," USD 21,247.67 ", 8.99 ,54.0, 0.0 ,-2.6%, 19.0 ,"$409,691", saas ,series-b,onsite, angel ,0
50,"$126,875",6.63,23,1.0,17.9, 20.0 ," USD 2,535,878.22 ",Healthtech, pre-seed ,TRUE,ANGEL,1
 51.0 ," USD 140,540.19 ",13, 68.0 ,0.0,36.1%,15.0," USD 2,101,616.40 ",, seed ,yes,TIER-2-VC,0
 98.0 ,"$41,717",7,23, 0.0 , -14 % ,23.0," USD 696,703.61 ",Saas, pre-seed ,FALSE,TIER-2-VC,0
40.0,"$26,294", 2.1 ,30.0, 1.0 ,-10.31, 25.0 ," USD 482,128.37 ",ecommerce,SEED,remote,angel,0
22.0,"$77,224",11,20.0, 1.0 , 1 % ,19.0,, healthtech ,Series-B,onsite,angel,0
 42.0 ,"122,023",4, 31.0 ,0, 2 % ,27.0," USD 1,398,407.53 ",ECOMMERCE,series-b,no,,1
5," USD 196,550.95 ",9, 38.0 , 0.0 , 46 % ,,"$2,510,922",healthtech,unknown,yes,None,0
 15.0 ,"$97,145",8, 24.0 , 1.0 ,28.03, 20.0 ,"1,460,664",Fintech,Pre-Seed,Yes, angel ,0
13.0,unknown,9,51,0.0, 27 % , 11.0 ,"1,111,631",ecommerce,seed,Yes, angel ,0
93.0," USD 44,746.93 ", 23.0 ,29.0,0.0, 5 % ,17.0," USD 941,292.43 ",unknown, pre-seed ,onsite,Angel,0
87," USD 73,592.49 ",13.28,30.0, 0.0 ,unknown,24.0,"778,300",ecommerce,series-b,1,angel,0
84.0,"62,032",14, 13.0 , 0.0 ,-16.1%,21,"$844,293",unknown,,1,tier-2-vc,0
 57.0 ,"$41,844",4.12, 32.0 , 1.0 , 24 % ,15.0,,, pre-seed ,no, angel ,1
86.0,"$225,667",10,24,0.0, 19 % ,14.0,"$4,328,037",SAAS,PRE-SEED,0,angel,0
21.0," USD 195,212.23 ",14.08, 17.0 ,0, 33 % ,23.0," USD 2,711,021.18 ",ecommerce,pre-seed,yes, tier-1-vc ,0
 108.0 ," USD 136,601.99 ", 7.88 ,,1.0,6.21, 14.0 ,"1,950,823",ECOMMERCE,unknown,0,None,0
,"44,070",17.54, 63.0 ,1,7.45, 18.0 ,"456,213",FINTECH,Pre-Seed,remote, tier-2-vc ,0
112.0,"117,039",, 22.0 ,0.0,13.06,17,, saas ,Series-A,No,Angel,0
 20.0 ,"103,963",11.57,6,1,26.05,21,"1,596,297", saas , series-a ,0, tier-1-vc ,0
,"93,284",10.07,16,1,-16.46,24.0,"$1,248,492", saas , pre-seed ,,NONE,0
84,"145,410",13.82,25, 1.0 , 23 % ,15,"2,175,624",HEALTHTECH,Series-A,remote,Tier-2-Vc,0
 60.0 ,"103,720",9.8, 34.0 ,1,9.6%,22," USD 2,127,096.17 ",Healthtech,SEED,,tier-2-vc,0
55.0,,12,34.0,2,-9.06,18,"1,316,233",AI,series-a,FALSE,Tier-2-Vc,0
22," USD 103,808.01 ",12, 35.0 , 0.0 ,-27.52,20.0," USD 1,311,444.17 ",, seed ,no, tier-2-vc ,1
47,unknown, 9.33 ,17, 1.0 , 8 % ,16.0,"1,853,130",Saas,seed,Yes,none,0
,"27,420", 15.43 , 31.0 ,1, 36 % ,19.0,,FINTECH,seed,no,,0
38.0," USD 76,572.37 ",14, 14.0 , 0.0 ,n/a,15.0,unknown, ai ,PRE-SEED,TRUE,Tier-1-Vc,0
 82.0 ,"$53,857", 12.56 ,17,0.0, 16 % ,16.0,"948,267",Fintech,seed,onsite, tier-1-vc ,0
76.0,"$36,174",10.85,13.0,0.0,45.32,17,"$573,666",fintech, series-a ,0,Angel,0
 74.0 ," USD 184,425.18 ", 16.98 ,9, 0.0 ,9.23, 19.0 ,"2,693,862",ai,series-a,,tier-2-vc,0
45," USD 189,273.33 ",12,41, 1.0 , 27 % ,14.0,"$3,657,940", saas ,seed,yes,Tier-2-Vc,0
115.0,"154,442",11.47,36.0,0, 2 % , 13.0 ," USD 3,189,118.14 ",fintech,seed,onsite,,1
13," USD 84,150.94 ", 13.52 , 40.0 ,1.0,0.7%,20.0,"1,711,357",Saas,Series-A,No, tier-1-vc ,0
43,"153,713", 21.48 ,27.0,1,-2.2,20.0,"1,730,521",healthtech,PRE-SEED,1, tier-1-vc ,0
 16.0 ,"$73,617",6.3,unknown,0,-27.1%,16,"1,562,123",Ecommerce,PRE-SEED,onsite,,1
,"$81,760",16.85,2,0.0,33.17,21.0,"$1,191,095",Ecommerce,SEED,1,Tier-2-Vc,0
 115.0 ," USD 40,078.32 ",4,38, 1.0 ,-1.55,16,"$520,212",Ai,pre-seed,yes,angel,1
45.0,"90,975", 14.09 ,,2.0,-4.43,15.0," USD 1,393,988.89 ",Ecommerce,seed,no,none,1
,"$75,600",unknown,35.0,1,, 19.0 ," USD 1,460,934.26 ",healthtech,Pre-Seed,remote,Tier-2-Vc,0
 60.0 ,,15,31.0, 2.0 , 6 % ,15,"$648,790",Healthtech, seed ,No,TIER-2-VC,0
84," USD 71,099.93 ",14,12,0,, 15.0 ,"1,064,967",Ecommerce,series-a,0, none ,0
56.0,"69,993",10, 5.0 ,0,47.7%,21.0,"$1,354,409",unknown,SERIES-A,1, tier-2-vc ,0
 34.0 ,"$196,547",, 16.0 ,1,-19.9%,,,ECOMMERCE, series-a ,yes,Angel,1
92,"119,589",12, 34.0 ,0,3.62,18.0,"1,639,342",ECOMMERCE,seed,yes,none,0
 116.0 ," USD 73,592.25 ", 9.07 ,,1.0,-8.62,22.0,"$969,052",SAAS,SERIES-B,Yes,TIER-2-VC,0
33.0," USD 83,854.05 ",11.55,7.0,0,27.79, 21.0 ,"$1,479,264",ai,series-a,0,Tier-2-Vc,1
 94.0 ,"$74,931",13.99,12, 0.0 , 15 % ,7.0,"$1,174,156",AI, seed ,TRUE,unknown,0
 33.0 ," USD 65,407.83 ", 9.16 ,,0.0,-1.5%,,"686,650",AI, pre-seed ,FALSE,NONE,1
 86.0 ," USD 40,322.51 ", 8.97 ,21, 1.0 ,11.3%,17,"$781,799",saas,SERIES-A,Yes,tier-2-vc,0
95.0,, 6.2 , 7.0 ,2, 1 % , 13.0 ,"947,516",,seed,yes,none,1
 55.0 ,"48,516",n/a,6, 0.0 ,39.06,20.0," USD 1,085,225.89 ",Healthtech,Series-A,0,Tier-1-Vc,0
 89.0 ,"36,766",16, 14.0 ,1,19.85,8,"381,926",Fintech,Series-A,1,ANGEL,0
n/a,"$96,875",14,27, 0.0 ,22.1%,11,,unknown,Series-B,No, tier-1-vc ,0
 12.0 ,"$90,689",n/a,9.0,2.0, -35 % , 12.0 ,"$1,197,108",AI,SERIES-B,no, none ,1
 14.0 ,n/a,13,24.0, 1.0 ,,27.0," USD 331,166.53 ", healthtech ,seed,onsite,NONE,1
 55.0 ,"$68,359",15,41,0,47.5%,,"960,633",fintech,series-b,yes,angel,0
108,"126,454", 14.52 ,8,0, 34 % , 16.0 ,,Healthtech,SERIES-B,TRUE, tier-2-vc ,0
 17.0 ," USD 130,950.29 ", 12.54 ,23,0.0, -23 % ,14.0,"$2,170,302",healthtech, pre-seed ,0,tier-1-vc,1
56.0,"$128,568",10,40.0,0,4.36,20.0," USD 1,649,929.84 ",fintech, seed ,yes, tier-2-vc ,0
85," USD 74,712.47 ",24,20,0.0,-11.6%,25,"$648,914",SAAS,Pre-Seed,no,angel,1
26.0,"45,946", 10.74 , 18.0 ,0,40.8,13.0,"$418,778",unknown,,onsite,NONE,0
87,"40,294",10,42,0.0,14.4%,20.0,"$558,243",AI,Seed,yes,TIER-2-VC,0
